time,temp_c
night01T00:00,-16.3
night01T01:00,-16.1
night01T02:00,-15.3
night01T03:00,-15.4
night01T04:00,-15.2
night01T05:00,-15.2
night01T06:00,-15.5
night01T07:00,-16.1
night01T08:00,-16.3
night01T09:00,-16.2
night01T10:00,-16.3
night01T11:00,-15.4
night01T12:00,-16.1
night01T13:00,-16.4
night01T14:00,-17.1
night01T15:00,-17.4
night01T16:00,-17.8
night01T17:00,-16.6
night01T18:00,-16.7
night01T19:00,-16.7
night01T20:00,-17.2
night01T21:00,-17.4
night01T22:00,-16.3
night01T23:00,-17.3
night02T00:00,-16.0
night02T01:00,-15.4
night02T02:00,-15.5
night02T03:00,-16.4
night02T04:00,-15.9
night02T05:00,-15.3
night02T06:00,-16.2
night02T07:00,-15.9
night02T08:00,-15.6
night02T09:00,-15.3
night02T10:00,-16.3
night02T11:00,-16.2
night02T12:00,-17.2
night02T13:00,-16.5
night02T14:00,-16.8
night02T15:00,-16.8
night02T16:00,-16.9
night02T17:00,-16.7
night02T18:00,-16.8
night02T19:00,-17.7
night02T20:00,-16.6
night02T21:00,-17.1
night02T22:00,-16.2
night02T23:00,-17.2
night03T00:00,-15.8
night03T01:00,-16.5
night03T02:00,-16.7
night03T03:00,-15.8
night03T04:00,-16.4
night03T05:00,-16.1
night03T06:00,-14.8
night03T07:00,-15.9
night03T08:00,-15.9
night03T09:00,-15.6
night03T10:00,-15.6
night03T11:00,-16.0
night03T12:00,-15.9
night03T13:00,-16.5
night03T14:00,-16.7
night03T15:00,-17.7
night03T16:00,-17.6
night03T17:00,-17.9
night03T18:00,-16.7
night03T19:00,-16.5
night03T20:00,-17.6
night03T21:00,-16.5
night03T22:00,-17.3
night03T23:00,-16.7
night04T00:00,-17.1
night04T01:00,-16.9
night04T02:00,-16.5
night04T03:00,-16.0
night04T04:00,-15.5
night04T05:00,-14.7
night04T06:00,-15.6
night04T07:00,-15.7
night04T08:00,-15.9
night04T09:00,-15.6
night04T10:00,-16.1
night04T11:00,-16.9
night04T12:00,-16.0
night04T13:00,-16.8
night04T14:00,-16.3
night04T15:00,-17.6
night04T16:00,-16.9
night04T17:00,-17.2
night04T18:00,-16.9
night04T19:00,-17.1
night04T20:00,-17.2
night04T21:00,-17.1
night04T22:00,-17.3
night04T23:00,-17.4
night05T00:00,-16.7
night05T01:00,-16.1
night05T02:00,-16.3
night05T03:00,-15.0
night05T04:00,-15.1
night05T05:00,-15.4
night05T06:00,-16.1
night05T07:00,-14.8
night05T08:00,-15.5
night05T09:00,-15.6
night05T10:00,-16.6
night05T11:00,-16.8
night05T12:00,-15.9
night05T13:00,-16.4
night05T14:00,-16.9
night05T15:00,-16.6
night05T16:00,-17.0
night05T17:00,-16.7
night05T18:00,-17.6
night05T19:00,-17.9
night05T20:00,-17.2
night05T21:00,-17.7
night05T22:00,-16.2
night05T23:00,-16.9
night06T00:00,-16.1
night06T01:00,-16.2
night06T02:00,-16.6
night06T03:00,-16.4
night06T04:00,-15.6
night06T05:00,-15.6
night06T06:00,-14.8
night06T07:00,-16.3
night06T08:00,-14.9
night06T09:00,-15.1
night06T10:00,-15.8
night06T11:00,-16.0
night06T12:00,-16.4
night06T13:00,-16.7
night06T14:00,-16.8
night06T15:00,-17.5
night06T16:00,-17.6
night06T17:00,-17.9
night06T18:00,-17.6
night06T19:00,-16.5
night06T20:00,-17.0
night06T21:00,-17.4
night06T22:00,-16.5
night06T23:00,-16.9
night07T00:00,-16.1
night07T01:00,-15.5
night07T02:00,-16.3
night07T03:00,-16.5
night07T04:00,-15.5
night07T05:00,-15.1
night07T06:00,-15.3
night07T07:00,-15.9
night07T08:00,-15.2
night07T09:00,-15.1
night07T10:00,-16.5
night07T11:00,-16.9
night07T12:00,-16.8
night07T13:00,-17.2
night07T14:00,-16.9
night07T15:00,-17.5
night07T16:00,-16.8
night07T17:00,-17.7
night07T18:00,-18.0
night07T19:00,-17.7
night07T20:00,-17.4
night07T21:00,-17.7
night07T22:00,-16.3
night07T23:00,-17.4
night08T00:00,-15.8
night08T01:00,-16.9
night08T02:00,-15.6
